Team,Nickname,City,State,Conference,Former,"First
Played","Joined
FBS",lat,long
Air Force,Falcons,Colorado Springs,Colorado,Mountain West,WAC,1955,,39.01,-104.89
Akron,Zips,Akron,Ohio,MAC,"OAC, MCC, OVC",1891,1987,41.075235,-81.511538
Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC,"SIAA, SoCon",1892,,33.209438,-87.541493
UAB,Blazers,Birmingham,Alabama,C-USA,,1991,1999,33.5,-86.8075
Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt,"NSC, SoCon",1928,2014,36.213843,-81.678621
Arizona,Wildcats,Tucson,Arizona,Pac-12,"BIAA, WAC",1899,,32.231667,-110.951944
Arizona State,Sun Devils,Tempe,Arizona,Pac-12,"BIAA, WAC",1896,,33.417195,-111.936511
Arkansas,Razorbacks,Fayetteville,Arkansas,SEC,SWC,1894,,36.068681,-94.176012
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt,"Arkansas Intercollegiate Conference, Southland, Big West",1911,1992,35.841082,-90.679586
Army West Point,Black Knights,West Point,New York,Independent,C-USA,1890,,41.393,-73.958
Auburn,Tigers,Auburn,Alabama,SEC,"SIAA, SoCon",1892,,32.603,-85.486
Ball State,Cardinals,Muncie,Indiana,MAC,"IIC, ICC",1924,,40.198322,-85.408943
Baylor,Bears,Waco,Texas,Big 12,"TIAA, SWC",1899,,31.548611,-97.116667
Boise State,Broncos,Boise,Idaho,Mountain West,"ICAC, Big Sky, Big West, WAC",1933,1996,43.604,-116.204
Boston College,Eagles,Chestnut Hill,Massachusetts,ACC,Big East,1893,,42.335083,-71.170361
Bowling Green,Falcons,Bowling Green,Ohio,MAC,"Northwest Ohio Intercollegiate Athletic Association, OAC",1919,,41.38,-83.63
Buffalo,Bulls,Buffalo,New York,MAC,New York State Conference,1894,1999,43,-78.79
BYU,Cougars,Provo,Utah,Independent,"Rocky Mountain, Mountain States, WAC, MW",1921,,40.25,-111.65
California,Golden Bears,Berkeley,California,Pac-12,PCC,1882,,37.87,-122.259
Fresno State,Bulldogs,Fresno,California,Mountain West,"California Coast Conference, NCAC, CCAA, Big West, WAC",1921,,36.813333,-119.75
UCLA,Bruins,Los Angeles,California,Pac-12,"SCIAC, PCC",1919,,34.072222,-118.444097
UCF,Knights,Orlando,Florida,American,"MAC, C-USA",1979,1996,28.6016,-81.2005
Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC,"MCC, IIAC",1896,,43.589802,-84.77749
Charlotte,49ers,Charlotte,North Carolina,C-USA,"Sun Belt, C-USA, A-10",2013,2015,35.303556,-80.732381
